Apple,Fruit,Red,iPhone,Tree,Mac
Cloud71,Object,Season,Place,Sport,Tool
Movie252,Action,Device,Season,Color,Object
Window882,Season,Device,Action,Tool,Emotion
Movie78,Tool,Place,Action,Sport,Animal
Dance752,Device,Tool,Color,Emotion,Sport
Tiger210,Sport,Tool,Color,Object,Animal
Rocket306,Action,Object,Sport,Color,Emotion
Rocket92,Sport,Action,Place,Emotion,Object
Movie945,Device,Animal,Emotion,Action,Tool
Cloud921,Place,Sport,Emotion,Device,Color
Bottle511,Color,Tool,Emotion,Animal,Action
Window382,Device,Tool,Emotion,Sport,Place
Window284,Color,Device,Sport,Animal,Place
Window781,Action,Object,Season,Animal,Color
Cake380,Season,Tool,Animal,Sport,Action
School761,Action,Object,Tool,Sport,Animal
Cake165,Animal,Place,Action,Device,Color
Window661,Device,Sport,Animal,Action,Object
Movie478,Device,Emotion,Object,Sport,Place
Tiger857,Sport,Emotion,Object,Action,Tool
Chair437,Place,Color,Sport,Animal,Season
Movie427,Device,Place,Color,Tool,Action
Cloud107,Animal,Season,Tool,Device,Color
Dance789,Color,Object,Place,Season,Device
School595,Device,Color,Tool,Emotion,Animal
Bottle745,Tool,Object,Color,Animal,Season
Movie203,Color,Object,Animal,Action,Place
Movie284,Place,Tool,Sport,Object,Animal
Bottle501,Device,Season,Color,Emotion,Animal
Tiger168,Tool,Place,Object,Action,Animal
School231,Device,Place,Sport,Object,Season
Bottle757,Action,Device,Tool,Animal,Place
Rocket172,Device,Color,Action,Animal,Tool
Tiger779,Color,Place,Tool,Emotion,Season
Cloud345,Object,Device,Season,Tool,Color
Tiger107,Action,Place,Tool,Sport,Color
Cloud952,Object,Emotion,Sport,Action,Color
School340,Emotion,Place,Animal,Color,Device
Cake383,Sport,Color,Action,Emotion,Season
School378,Action,Place,Animal,Tool,Season
Rocket987,Action,Tool,Device,Emotion,Object
Window33,Emotion,Animal,Device,Place,Season
Dance122,Device,Place,Action,Emotion,Color
Cake122,Device,Tool,Animal,Season,Sport
Dance169,Sport,Season,Object,Tool,Action
Tiger932,Color,Sport,Device,Animal,Place
Cloud24,Animal,Emotion,Season,Action,Sport
Tiger178,Color,Action,Tool,Device,Place
Chair206,Tool,Color,Season,Device,Animal
Cloud421,Color,Place,Tool,Device,Sport
Movie391,Color,Object,Emotion,Place,Tool
Cake655,Object,Emotion,Animal,Color,Place
Cake986,Object,Animal,Action,Season,Device
Movie568,Place,Action,Tool,Season,Device
Cloud742,Season,Emotion,Tool,Object,Device
Cake289,Season,Color,Tool,Object,Place
Tiger458,Season,Place,Object,Emotion,Sport
School794,Action,Season,Emotion,Device,Tool
Bottle611,Place,Tool,Object,Season,Action
Tiger596,Place,Animal,Action,Object,Sport
Tiger771,Object,Action,Tool,Device,Sport
School396,Device,Animal,Color,Place,Sport
Dance126,Tool,Sport,Animal,Color,Season
School327,Object,Place,Animal,Action,Device
Chair96,Animal,Color,Sport,Place,Tool
Bottle134,Object,Device,Emotion,Sport,Animal
Rocket733,Tool,Animal,Place,Device,Object
School319,Place,Tool,Object,Action,Season
Dance329,Object,Emotion,Color,Animal,Tool
Window283,Season,Color,Sport,Action,Object
Bottle927,Tool,Action,Season,Object,Place
Dance132,Season,Action,Animal,Tool,Device
Movie420,Emotion,Color,Season,Action,Tool
Cloud636,Tool,Object,Emotion,Action,Sport
Chair81,Object,Animal,Emotion,Sport,Device
Tiger636,Device,Sport,Emotion,Action,Object
Window475,Tool,Action,Place,Object,Season
Chair693,Sport,Emotion,Action,Tool,Color
Movie502,Action,Tool,Emotion,Color,Animal
Window936,Sport,Emotion,Tool,Device,Season
Movie916,Animal,Season,Sport,Action,Emotion
Cake277,Place,Object,Sport,Action,Emotion
Movie875,Emotion,Color,Tool,Device,Action
School1000,Sport,Tool,Device,Place,Animal
Window144,Device,Tool,Color,Sport,Place
Cloud489,Animal,Emotion,Device,Action,Color
Dance945,Action,Place,Season,Animal,Color
Cloud191,Tool,Device,Action,Place,Animal
School265,Tool,Emotion,Object,Animal,Season
Cloud505,Tool,Emotion,Place,Sport,Animal
Dance248,Action,Device,Animal,Emotion,Tool
Tiger324,Tool,Object,Place,Action,Device
Movie607,Action,Device,Animal,Sport,Object
Cloud157,Object,Animal,Emotion,Tool,Device
Rocket209,Device,Object,Animal,Tool,Season
Dance75,Action,Season,Object,Device,Animal
Chair614,Color,Tool,Animal,Sport,Object
Window965,Color,Device,Tool,Emotion,Object
Dance634,Sport,Season,Place,Object,Device
Bottle463,Season,Sport,Object,Device,Color
Window142,Emotion,Animal,Sport,Color,Device
Movie635,Color,Object,Emotion,Animal,Place
Chair203,Color,Object,Device,Emotion,Sport
Dance858,Color,Place,Device,Animal,Emotion
Window332,Tool,Object,Sport,Place,Emotion
Chair205,Season,Animal,Color,Emotion,Object
Dance590,Emotion,Device,Object,Sport,Color
Dance194,Color,Action,Season,Device,Emotion
Rocket610,Animal,Action,Season,Object,Tool
Movie170,Season,Object,Device,Emotion,Action
Movie470,Object,Animal,Place,Device,Color
Bottle940,Sport,Action,Season,Color,Emotion
School909,Action,Animal,Object,Emotion,Season
School163,Animal,Season,Emotion,Object,Place
Tiger43,Tool,Animal,Device,Object,Season
Tiger957,Season,Sport,Animal,Tool,Place
Movie558,Action,Sport,Object,Tool,Season
Cloud880,Emotion,Sport,Device,Action,Place
Bottle778,Sport,Place,Animal,Color,Device
Rocket546,Place,Action,Color,Emotion,Tool
Cake312,Tool,Device,Animal,Object,Emotion
Rocket124,Sport,Animal,Tool,Device,Place
Movie909,Season,Place,Color,Device,Action
Movie698,Animal,Sport,Color,Emotion,Season
Movie860,Season,Tool,Place,Action,Emotion
Chair574,Tool,Action,Color,Animal,Place
Bottle163,Color,Place,Animal,Sport,Season
Movie901,Action,Tool,Place,Object,Device
Chair341,Animal,Device,Emotion,Object,Season
Chair659,Animal,Emotion,Color,Sport,Place
Dance373,Device,Color,Place,Tool,Animal
Cloud606,Action,Color,Season,Tool,Place
Movie316,Tool,Action,Emotion,Place,Animal
Tiger114,Device,Place,Animal,Object,Sport
Bottle99,Object,Color,Sport,Tool,Animal
Cake954,Emotion,Tool,Object,Season,Place
Tiger553,Animal,Device,Place,Color,Sport
Rocket190,Place,Season,Color,Object,Action
Dance82,Place,Emotion,Device,Action,Color
Chair453,Animal,Tool,Device,Color,Action
School224,Device,Season,Color,Place,Object
Cloud512,Season,Emotion,Color,Tool,Place
School99,Color,Action,Place,Device,Season
Rocket497,Color,Action,Device,Object,Animal
Movie413,Place,Emotion,Color,Animal,Tool
School992,Emotion,Action,Animal,Tool,Place
Window103,Object,Season,Emotion,Device,Tool
Movie881,Object,Color,Tool,Animal,Action
Rocket398,Object,Animal,Sport,Tool,Device
Chair649,Action,Object,Tool,Season,Animal
Rocket539,Animal,Object,Color,Action,Emotion
Chair168,Action,Animal,Sport,Color,Place
Window170,Tool,Season,Sport,Place,Color
Chair141,Place,Animal,Device,Sport,Action
Cloud466,Sport,Action,Place,Object,Emotion
Cake541,Emotion,Place,Sport,Device,Object
School315,Object,Device,Season,Tool,Place
Cloud828,Device,Animal,Place,Season,Emotion
Bottle464,Sport,Season,Tool,Color,Place
Chair807,Place,Season,Emotion,Object,Sport
Movie582,Action,Animal,Emotion,Place,Device
Tiger924,Place,Season,Tool,Sport,Animal
Dance545,Object,Season,Sport,Animal,Tool
Cake876,Sport,Tool,Action,Season,Device
Window120,Action,Animal,Object,Sport,Tool
Window156,Tool,Animal,Sport,Season,Place
Bottle738,Sport,Action,Device,Object,Place
Rocket439,Object,Action,Place,Color,Tool
Cloud240,Sport,Tool,Season,Color,Object
Dance587,Color,Tool,Object,Season,Animal
Movie937,Place,Device,Object,Action,Animal
Bottle385,Tool,Place,Device,Animal,Sport
Window578,Emotion,Action,Place,Sport,Tool
Rocket195,Tool,Action,Emotion,Place,Season
Rocket172,Emotion,Sport,Tool,Animal,Device
Bottle738,Season,Emotion,Device,Color,Sport
Movie410,Sport,Object,Device,Season,Action
Cake229,Device,Sport,Object,Animal,Color
Dance998,Color,Place,Animal,Object,Action
Rocket525,Sport,Season,Emotion,Device,Place
School838,Emotion,Action,Season,Color,Device
Cloud394,Season,Sport,Tool,Animal,Place
Cake637,Sport,Color,Action,Tool,Season
Movie69,Device,Emotion,Action,Object,Sport
Tiger541,Tool,Season,Color,Object,Animal
Tiger547,Sport,Season,Emotion,Tool,Place
Dance521,Action,Tool,Sport,Color,Season
Movie905,Tool,Object,Season,Action,Device
Bottle440,Emotion,Device,Sport,Season,Color
Bottle135,Place,Emotion,Animal,Device,Season
Chair651,Emotion,Action,Object,Color,Tool
Movie538,Place,Device,Color,Tool,Action
Rocket783,Season,Color,Action,Animal,Sport
Chair493,Emotion,Animal,Place,Tool,Color
Movie461,Tool,Place,Color,Device,Animal
Cake952,Tool,Sport,Object,Place,Color
Window703,Sport,Place,Tool,Object,Color
Rocket131,Place,Action,Color,Object,Device
Cloud479,Season,Place,Tool,Animal,Device
Window683,Animal,Color,Emotion,Action,Device
School631,Action,Tool,Color,Place,Device
Rocket909,Sport,Action,Object,Emotion,Season
School366,Sport,Color,Object,Season,Emotion
School882,Animal,Object,Season,Color,Tool
Bottle671,Place,Sport,Color,Animal,Emotion
Dance16,Color,Emotion,Place,Tool,Action
Movie234,Season,Emotion,Sport,Object,Device
Tiger483,Animal,Emotion,Object,Device,Place
Cake10,Animal,Device,Color,Object,Emotion
Bottle953,Emotion,Color,Device,Animal,Sport
Bottle375,Sport,Place,Emotion,Season,Color
Window431,Animal,Season,Device,Action,Tool
Window91,Season,Action,Sport,Tool,Color
Dance895,Color,Object,Sport,Tool,Action
Chair244,Action,Emotion,Tool,Sport,Place
Rocket624,Device,Action,Sport,Color,Season
Cloud212,Device,Animal,Object,Action,Emotion
Dance493,Tool,Emotion,Place,Animal,Action
Rocket663,Device,Animal,Sport,Tool,Emotion
Rocket136,Device,Color,Emotion,Object,Sport
Window666,Action,Sport,Object,Season,Color
Movie673,Device,Color,Place,Emotion,Animal
Movie755,Place,Tool,Season,Device,Object
Cake82,Action,Device,Sport,Animal,Emotion
Tiger341,Animal,Color,Emotion,Place,Tool
Dance826,Animal,Season,Sport,Object,Action
Dance1000,Place,Device,Season,Sport,Object
Movie82,Device,Animal,Action,Object,Sport
Movie284,Place,Season,Color,Action,Emotion
Rocket964,Action,Place,Tool,Device,Sport
Cake143,Animal,Sport,Object,Color,Place
Dance342,Action,Emotion,Place,Animal,Sport
Rocket18,Color,Device,Tool,Action,Place
Tiger105,Season,Action,Tool,Place,Color
Dance985,Season,Animal,Action,Color,Sport
Tiger114,Tool,Object,Season,Animal,Emotion
School105,Place,Emotion,Tool,Object,Sport
Window257,Device,Action,Emotion,Season,Place
Cloud364,Object,Sport,Place,Action,Device
Cake188,Emotion,Season,Object,Tool,Animal
Cake170,Place,Animal,Device,Object,Season
School75,Emotion,Action,Object,Tool,Season
Window577,Action,Sport,Color,Object,Device
Tiger949,Device,Season,Color,Action,Place
Bottle460,Season,Emotion,Object,Color,Tool
Bottle320,Season,Emotion,Sport,Tool,Object
Cake945,Animal,Sport,Tool,Season,Object
School165,Action,Color,Animal,Device,Season
School82,Tool,Animal,Emotion,Place,Action
Window925,Emotion,Device,Object,Place,Action
